,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
489,P190,Tawau,Sabah,Ahmad Awang,553,1.4,,IND,4979,Chua Soon Bui,,SAPP,51538,,38.0,,8.0,50.0,,39658,76.9,789,1.5
490,P191,Kalabakan,Sabah,Malvine Reyes,603,1.7,,STAR,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
491,P191,Kalabakan,Sabah,Freddie Japat Simbol,137,0.4,,IND,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
492,P191,Kalabakan,Sabah,Yahya Zainal,132,0.4,,IND,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
493,P191,Kalabakan,Sabah,Abdul Ghapur Salleh,23125,64.0,BN,UMNO,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
494,P191,Kalabakan,Sabah,Usman Madeaming,8904,24.6,PR,PAS,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
495,P191,Kalabakan,Sabah,Mohd Manuke,1313,3.6,,IND,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
496,P191,Kalabakan,Sabah,Siamsir Borhan,891,2.5,,IND,14221,Abdul Ghapur Salleh,BN,UMNO,46793,,11.0,,12.0,70.0,,36132,77.2,1027,2.2
497,P192,Mas Gading,Sarawak,Mordi Bimol,5293,26.0,PR,DAP,2156,Tiki Lafe,BN,SPDP,25771,,19.0,,,13.0,68.0,20353,79.0,224,0.9
498,P192,Mas Gading,Sarawak,Anthony Nogeh Gumbek,8265,40.6,BN,SPDP,2156,Tiki Lafe,BN,SPDP,25771,,19.0,,,13.0,68.0,20353,79.0,224,0.9
499,P192,Mas Gading,Sarawak,Tiki Lafe,6109,30.0,,IND,2156,Tiki Lafe,BN,SPDP,25771,,19.0,,,13.0,68.0,20353,79.0,224,0.9
500,P192,Mas Gading,Sarawak,Patrick Uren,462,2.3,,STAR,2156,Tiki Lafe,BN,SPDP,25771,,19.0,,,13.0,68.0,20353,79.0,224,0.9
501,P193,Santubong,Sarawak,Mura Kadir,206,0.7,,STAR,20936,Wan Junaidi Tuanku Jaafar,BN,PBB,37017,,8.0,,,83.0,9.0,29207,78.9,394,1.1
502,P193,Santubong,Sarawak,Wan Junaidi Tuanku Jaafar,24655,84.4,BN,PBB,20936,Wan Junaidi Tuanku Jaafar,BN,PBB,37017,,8.0,,,83.0,9.0,29207,78.9,394,1.1
503,P193,Santubong,Sarawak,Zulrusdi Mohamad Hoi,3719,12.7,PR,PKR,20936,Wan Junaidi Tuanku Jaafar,BN,PBB,37017,,8.0,,,83.0,9.0,29207,78.9,394,1.1
504,P193,Santubong,Sarawak,Affendi Jeman,233,0.8,,IND,20936,Wan Junaidi Tuanku Jaafar,BN,PBB,37017,,8.0,,,83.0,9.0,29207,78.9,394,1.1
505,P194,Petra Jaya,Sarawak,Fadillah Yusof,29559,77.8,BN,PBB,21443,Fadillah Yusof,BN,PBB,49750,,12.0,,,79.0,8.0,37996,76.4,321,0.6
506,P194,Petra Jaya,Sarawak,Ahmad Nazib Johari,8116,21.4,PR,PKR,21443,Fadillah Yusof,BN,PBB,49750,,12.0,,,79.0,8.0,37996,76.4,321,0.6
507,P195,Bandar Kuching,Sarawak,Chong Chieng Jen,30133,73.8,PR,DAP,19642,Chong Chieng Jen,PR,DAP,53336,,91.0,,,5.0,3.0,40825,76.5,201,0.4
508,P195,Bandar Kuching,Sarawak,Tan Kai,10491,25.7,BN,SUPP,19642,Chong Chieng Jen,PR,DAP,53336,,91.0,,,5.0,3.0,40825,76.5,201,0.4
509,P196,Stampin,Sarawak,Yong Khoon Seng,22993,35.2,BN,SUPP,18670,Yong Khoon Seng,BN,SUPP,84732,,73.0,,,13.0,13.0,65383,77.2,488,0.6
510,P196,Stampin,Sarawak,Soo Lina,239,0.4,,STAR,18670,Yong Khoon Seng,BN,SUPP,84732,,73.0,,,13.0,13.0,65383,77.2,488,0.6
511,P196,Stampin,Sarawak,Julian Tan Kok Ping,41663,63.7,PR,DAP,18670,Yong Khoon Seng,BN,SUPP,84732,,73.0,,,13.0,13.0,65383,77.2,488,0.6
512,P197,Kota Samarahan,Sarawak,Rubiah Wang,24202,76.8,BN,PBB,17401,Sulaiman Abdul Rahman Taib,BN,PBB,38158,,12.0,,,65.0,22.0,31531,82.6,528,1.4
513,P197,Kota Samarahan,Sarawak,Abang Ahmad Kerdee Abang Masagus,6801,21.6,PR,PAS,17401,Sulaiman Abdul Rahman Taib,BN,PBB,38158,,12.0,,,65.0,22.0,31531,82.6,528,1.4
514,P198,Mambong,Sarawak,Willie Mongin,10740,33.0,PR,PKR,9721,James Dawos Mamit,BN,PBB,42344,,27.0,,,12.0,61.0,32579,76.9,674,1.6
515,P198,Mambong,Sarawak,Dripin Sakoi,704,2.2,,STAR,9721,James Dawos Mamit,BN,PBB,42344,,27.0,,,12.0,61.0,32579,76.9,674,1.6
516,P198,Mambong,Sarawak,James Dawos Mamit,20461,62.8,BN,PBB,9721,James Dawos Mamit,BN,PBB,42344,,27.0,,,12.0,61.0,32579,76.9,674,1.6
517,P199,Serian,Sarawak,Edward Andrew Luwak,6343,23.9,PR,DAP,13151,Richard Riot Jaem,BN,SUPP,33713,,11.0,,,15.0,75.0,26523,78.7,296,0.9
518,P199,Serian,Sarawak,Johnny Aput,390,1.5,,STAR,13151,Richard Riot Jaem,BN,SUPP,33713,,11.0,,,15.0,75.0,26523,78.7,296,0.9
519,P199,Serian,Sarawak,Richard Riot Jaem,19494,73.5,BN,SUPP,13151,Richard Riot Jaem,BN,SUPP,33713,,11.0,,,15.0,75.0,26523,78.7,296,0.9
520,P200,Batang Sadong,Sarawak,Mohamad Jolhi,2017,13.0,PR,PAS,11260,Nancy Shukri,BN,PBB,19839,,6.0,,,74.0,21.0,15521,78.2,227,1.1
521,P200,Batang Sadong,Sarawak,Nancy Shukri,13277,85.5,BN,PBB,11260,Nancy Shukri,BN,PBB,19839,,6.0,,,74.0,21.0,15521,78.2,227,1.1
522,P201,Batang Lupar,Sarawak,Rohani Abdul Karim,15625,75.4,BN,PBB,10964,Rohani Abdul Karim,BN,PBB,27360,,3.0,,,77.0,20.0,20711,75.7,425,1.6
523,P201,Batang Lupar,Sarawak,Abang Zulkifli Abang Engkeh,4661,22.5,PR,PKR,10964,Rohani Abdul Karim,BN,PBB,27360,,3.0,,,77.0,20.0,20711,75.7,425,1.6
524,P202,Sri Aman,Sarawak,Wilfred Stephen,476,2.1,,SWP,6550,Masir Kujat,BN,PRS,29789,,17.0,,,20.0,63.0,22353,75.0,224,0.8
525,P202,Sri Aman,Sarawak,Nicholas Mujah Ason,5618,25.1,PR,PKR,6550,Masir Kujat,BN,PRS,29789,,17.0,,,20.0,63.0,22353,75.0,224,0.8
526,P202,Sri Aman,Sarawak,Donald Lawan,3867,17.3,,IND,6550,Masir Kujat,BN,PRS,29789,,17.0,,,20.0,63.0,22353,75.0,224,0.8
527,P202,Sri Aman,Sarawak,Masir Kujat,12168,54.4,BN,PRS,6550,Masir Kujat,BN,PRS,29789,,17.0,,,20.0,63.0,22353,75.0,224,0.8
528,P203,Lubok Antu,Sarawak,Larry Sng Wei Shien,4187,27.7,,SWP,4091,William Nyallau Badak,BN,PRS,19303,,8.0,,,18.0,74.0,15138,78.4,143,0.7
529,P203,Lubok Antu,Sarawak,Nicholas Bawin Anggat,2530,16.7,PR,PKR,4091,William Nyallau Badak,BN,PRS,19303,,8.0,,,18.0,74.0,15138,78.4,143,0.7
530,P203,Lubok Antu,Sarawak,William Nyallau Badak,8278,54.7,BN,PRS,4091,William Nyallau Badak,BN,PRS,19303,,8.0,,,18.0,74.0,15138,78.4,143,0.7
531,P204,Betong,Sarawak,Cecilia Siti Una @ Sittie Endek,4589,22.5,PR,PKR,10887,Douglas Uggah Embas,BN,PBB,26322,,7.0,,,50.0,43.0,20380,77.4,315,1.2
532,P204,Betong,Sarawak,Douglas Uggah Embas,15476,75.9,BN,PBB,10887,Douglas Uggah Embas,BN,PBB,26322,,7.0,,,50.0,43.0,20380,77.4,315,1.2
533,P205,Saratok,Sarawak,Rosli Bin Lek @ Abg Roselie bin Abg Paleng,681,3.1,,IND,2081,Jelaing Mersat,BN,SPDP,27562,,7.0,,,44.0,49.0,22058,80.0,258,0.9
534,P205,Saratok,Sarawak,Ali Biju,9519,43.2,PR,PKR,2081,Jelaing Mersat,BN,SPDP,27562,,7.0,,,44.0,49.0,22058,80.0,258,0.9
535,P205,Saratok,Sarawak,William Mawan Ikom,11600,52.6,BN,SPDP,2081,Jelaing Mersat,BN,SPDP,27562,,7.0,,,44.0,49.0,22058,80.0,258,0.9
536,P206,Tanjong Manis,Sarawak,Norah Abdul Rahman,12535,87.4,BN,PBB,10964,Norah Abdul Rahman,BN,PBB,19215,,5.0,,,74.0,20.0,14344,74.7,238,1.2
537,P206,Tanjong Manis,Sarawak,Jurina Mut,1571,11.0,PR,PAS,10964,Norah Abdul Rahman,BN,PBB,19215,,5.0,,,74.0,20.0,14344,74.7,238,1.2
538,P207,Igan,Sarawak,Ajiji Fauzan,1747,12.6,PR,PAS,10149,Wahab Dolah,BN,PBB,17771,,4.0,,,81.0,15.0,13865,78.0,222,1.2
539,P207,Igan,Sarawak,Wahab Dolah,11896,85.8,BN,PBB,10149,Wahab Dolah,BN,PBB,17771,,4.0,,,81.0,15.0,13865,78.0,222,1.2
540,P208,Sarikei,Sarawak,Ding Kuong Hiing,13758,48.6,BN,SUPP,505,Ding Kuong Hiing,BN,SUPP,36550,,66.0,,,11.0,23.0,28298,77.4,277,0.8
541,P208,Sarikei,Sarawak,Wong Ling Biu,14263,50.4,PR,DAP,505,Ding Kuong Hiing,BN,SUPP,36550,,66.0,,,11.0,23.0,28298,77.4,277,0.8
542,P209,Julau,Sarawak,Wong Hong Yu,2852,16.8,PR,PKR,5955,Joseph Salang Gandum,BN,PRS,22522,,5.0,,,12.0,83.0,16957,75.3,278,1.2
543,P209,Julau,Sarawak,Wong Judat,3936,23.2,,SWP,5955,Joseph Salang Gandum,BN,PRS,22522,,5.0,,,12.0,83.0,16957,75.3,278,1.2
544,P209,Julau,Sarawak,Joseph Salang Gandum,9891,58.3,BN,PRS,5955,Joseph Salang Gandum,BN,PRS,22522,,5.0,,,12.0,83.0,16957,75.3,278,1.2
545,P210,Kanowit,Sarawak,Thomas Laja Besi,5004,36.4,PR,PKR,3042,Aaron Ago Dagang,BN,PRS,19433,,12.0,,,16.0,72.0,13743,70.7,276,1.4
546,P210,Kanowit,Sarawak,Ellison Ludan Anak Mu,417,3.0,,SWP,3042,Aaron Ago Dagang,BN,PRS,19433,,12.0,,,16.0,72.0,13743,70.7,276,1.4
547,P210,Kanowit,Sarawak,Aaron Ago Dagang,8046,58.5,BN,PRS,3042,Aaron Ago Dagang,BN,PRS,19433,,12.0,,,16.0,72.0,13743,70.7,276,1.4
548,P211,Lanang,Sarawak,Alice Lau Kiong Yieng,26613,59.3,PR,DAP,8630,Tiong Thai King,BN,SUPP,57143,,72.0,,,10.0,18.0,44900,78.6,304,0.5
549,P211,Lanang,Sarawak,Tiong Thai King,17983,40.1,BN,SUPP,8630,Tiong Thai King,BN,SUPP,57143,,72.0,,,10.0,18.0,44900,78.6,304,0.5
550,P212,Sibu,Sarawak,Narawi Haron,203,0.4,,IND,2841,Wong Ho Leng,PR,DAP,64601,,65.0,,,20.0,15.0,51474,79.7,496,0.8
551,P212,Sibu,Sarawak,Lau Lee Ming,23967,46.6,BN,SUPP,2841,Wong Ho Leng,PR,DAP,64601,,65.0,,,20.0,15.0,51474,79.7,496,0.8
552,P212,Sibu,Sarawak,Oscar Ling Chai Yew,26808,52.1,PR,DAP,2841,Wong Ho Leng,PR,DAP,64601,,65.0,,,20.0,15.0,51474,79.7,496,0.8
553,P213,Mukah,Sarawak,Sylvester Ajah Subah @ Ajah Bin Subah,2219,11.2,,IND,12764,Leo Michael Toyad,BN,PBB,26477,,10.0,,,75.0,16.0,19838,74.9,417,1.6
554,P213,Mukah,Sarawak,Hai Bin Merawin @ Bonaventure,2219,11.2,PR,DAP,12764,Leo Michael Toyad,BN,PBB,26477,,10.0,,,75.0,16.0,19838,74.9,417,1.6
555,P213,Mukah,Sarawak,Leo Michael Toyad,14983,75.5,BN,PBB,12764,Leo Michael Toyad,BN,PBB,26477,,10.0,,,75.0,16.0,19838,74.9,417,1.6
556,P214,Selangau,Sarawak,Sng Chee Hua,4485,21.6,,SWP,7555,Joseph Entulu Belaun,BN,PRS,25461,,4.0,,,13.0,83.0,20725,81.4,309,1.2
557,P214,Selangau,Sarawak,Joseph Entulu Belaun,12040,58.1,BN,PRS,7555,Joseph Entulu Belaun,BN,PRS,25461,,4.0,,,13.0,83.0,20725,81.4,309,1.2
558,P214,Selangau,Sarawak,Joshua Anak Jabing @ Joshua Jabeng,3891,18.8,PR,PKR,7555,Joseph Entulu Belaun,BN,PRS,25461,,4.0,,,13.0,83.0,20725,81.4,309,1.2
559,P215,Kapit,Sarawak,Ramli Malaka,3715,21.3,PR,DAP,9731,Alexander Nanta Linggi,BN,PBB,26195,,10.0,,,22.0,68.0,17432,66.5,271,1.0
560,P215,Kapit,Sarawak,Alexander Nanta Linggi,13446,77.1,BN,PBB,9731,Alexander Nanta Linggi,BN,PBB,26195,,10.0,,,22.0,68.0,17432,66.5,271,1.0
561,P216,Hulu Rajang,Sarawak,George Lagong,2129,14.4,,SWP,5834,Billy Abit Joo,BN,PRS,21686,,,,2.0,20.0,77.0,14742,68.0,213,1.0
562,P216,Hulu Rajang,Sarawak,Abun Sui Anyit,3283,22.3,PR,PKR,5834,Billy Abit Joo,BN,PRS,21686,,,,2.0,20.0,77.0,14742,68.0,213,1.0
563,P216,Hulu Rajang,Sarawak,Wilson Ugak Kumbong,9117,61.8,BN,PRS,5834,Billy Abit Joo,BN,PRS,21686,,,,2.0,20.0,77.0,14742,68.0,213,1.0
564,P217,Bintulu,Sarawak,Tiong King Sing,26458,57.6,BN,SPDP,7433,Tiong King Sing,BN,SPDP,59893,,28.0,,,29.0,44.0,45941,76.7,458,0.8
565,P217,Bintulu,Sarawak,John Brian Anthony Jeremy Guang,19025,41.4,PR,DAP,7433,Tiong King Sing,BN,SPDP,59893,,28.0,,,29.0,44.0,45941,76.7,458,0.8
566,P218,Sibuti,Sarawak,Muhammad Zaid Tandang,7282,34.8,PR,PAS,6066,Ahmad Lai Bujang,BN,PBB,28351,,22.0,,,33.0,44.0,20918,73.8,288,1.0
567,P218,Sibuti,Sarawak,Ahmad Lai Bujang,13348,63.8,BN,PBB,6066,Ahmad Lai Bujang,BN,PBB,28351,,22.0,,,33.0,44.0,20918,73.8,288,1.0
568,P219,Miri,Sarawak,Chong Kon Fatt,306,0.6,,STAR,1992,Peter Chin Fah Kui,BN,SUPP,71170,,57.0,,,26.0,17.0,52762,74.1,630,0.9
569,P219,Miri,Sarawak,Sebastian Ting Chiew Yew,24917,47.2,BN,SUPP,1992,Peter Chin Fah Kui,BN,SUPP,71170,,57.0,,,26.0,17.0,52762,74.1,630,0.9
570,P219,Miri,Sarawak,Michael Teo Yu Keng,26909,51.0,PR,PKR,1992,Peter Chin Fah Kui,BN,SUPP,71170,,57.0,,,26.0,17.0,52762,74.1,630,0.9
571,P220,Baram,Sarawak,Roland Engan,8988,47.9,PR,PKR,194,Jacob Dungau Sagan,BN,SPDP,29385,,9.0,,,21.0,70.0,18775,63.9,242,0.8
572,P220,Baram,Sarawak,Anyi Ngau,9182,48.9,BN,SPDP,194,Jacob Dungau Sagan,BN,SPDP,29385,,9.0,,,21.0,70.0,18775,63.9,242,0.8
573,P220,Baram,Sarawak,Patrick Sibat Sujang,363,1.9,,IND,194,Jacob Dungau Sagan,BN,SPDP,29385,,9.0,,,21.0,70.0,18775,63.9,242,0.8
574,P221,Limbang,Sarawak,Hasbi Habibollah,12999,72.8,BN,PBB,8301,Hasbi Habibollah,BN,PBB,24278,,19.0,,,45.0,35.0,17859,73.6,162,0.7
575,P221,Limbang,Sarawak,Baru Bian,4698,26.3,PR,PKR,8301,Hasbi Habibollah,BN,PBB,24278,,19.0,,,45.0,35.0,17859,73.6,162,0.7
576,P222,Lawas,Sarawak,Henry Sum Agong,9928,70.6,BN,PBB,6030,Henry Sum Agong,BN,PBB,18845,,10.0,,,43.0,47.0,14072,74.7,177,0.9
577,P222,Lawas,Sarawak,Baru Langup,3898,27.7,PR,DAP,6030,Henry Sum Agong,BN,PBB,18845,,10.0,,,43.0,47.0,14072,74.7,177,0.9
578,P222,Lawas,Sarawak,Alirahman Kamseh,69,0.5,,STAR,6030,Henry Sum Agong,BN,PBB,18845,,10.0,,,43.0,47.0,14072,74.7,177,0.9
