,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
380,P157,Pengerang,Johor,Tengku Intan Tengku Abdul Hamid,4484,13.6,PR,PKR,22508,Azalina Othman Said,BN,UMNO,37999,88.0,10.0,,2.0,,,32969,86.8,698,1.8
381,P157,Pengerang,Johor,Mohd Azaman Johari,795,2.4,,IND,22508,Azalina Othman Said,BN,UMNO,37999,88.0,10.0,,2.0,,,32969,86.8,698,1.8
382,P158,Tebrau,Johor,Khoo Soo Seang,39985,50.1,BN,MCA,1767,Teng Boon Soon,BN,MCA,90482,47.0,38.0,13.0,,,,79754,88.1,1551,1.7
383,P158,Tebrau,Johor,Steven Choong Shiau Yoon,38218,47.9,PR,PKR,1767,Teng Boon Soon,BN,MCA,90482,47.0,38.0,13.0,,,,79754,88.1,1551,1.7
384,P159,Pasir Gudang,Johor,Normala Abdul Samad,43834,49.6,BN,UMNO,935,Mohamed Khaled Nordin,BN,UMNO,101041,47.0,38.0,11.0,,,,88437,86.0,1704,1.9
385,P159,Pasir Gudang,Johor,Ahmad Faidhi Saidi,42899,48.5,PR,PKR,935,Mohamed Khaled Nordin,BN,UMNO,101041,47.0,38.0,11.0,,,,88437,86.0,1704,1.9
386,P160,Johor Bahru,Johor,Shahrir Abdul Samad,44509,55.8,BN,UMNO,10495,Shahrir Abdul Samad,BN,UMNO,96321,51.0,43.0,5.0,,,,79807,82.8,1284,1.3
387,P160,Johor Bahru,Johor,Md Hashim Hussein,34014,42.6,PR,PKR,10495,Shahrir Abdul Samad,BN,UMNO,96321,51.0,43.0,5.0,,,,79807,82.8,1284,1.3
388,P161,Pulai,Johor,Nur Jazlan Mohamed,43751,51.0,BN,UMNO,3226,Nur Jazlan Mohamed,BN,UMNO,100490,47.0,41.0,10.0,,,,85763,85.3,1487,1.5
389,P161,Pulai,Johor,Salahuddin Ayub,40525,47.3,PR,PAS,3226,Nur Jazlan Mohamed,BN,UMNO,100490,47.0,41.0,10.0,,,,85763,85.3,1487,1.5
390,P162,Gelang Patah,Johor,Lim Kit Siang,54284,57.2,PR,DAP,14762,Tan Ah Eng,BN,MCA,106726,34.0,52.0,12.0,,,,94865,88.9,1059,1.0
391,P162,Gelang Patah,Johor,Abdul Ghani Othman,39522,41.7,BN,UMNO,14762,Tan Ah Eng,BN,MCA,106726,34.0,52.0,12.0,,,,94865,88.9,1059,1.0
392,P163,Kulai,Johor,Teo Nie Ching,43338,57.9,PR,DAP,13450,Ong Ka Ting,BN,MCA,83991,33.0,56.0,10.0,,,,74896,89.2,1432,1.7
393,P163,Kulai,Johor,Tay Chin Hein,29888,39.9,BN,MCA,13450,Ong Ka Ting,BN,MCA,83991,33.0,56.0,10.0,,,,74896,89.2,1432,1.7
394,P163,Kulai,Johor,Surendiran Kuppayah,238,0.3,,IND,13450,Ong Ka Ting,BN,MCA,83991,33.0,56.0,10.0,,,,74896,89.2,1432,1.7
395,P164,Pontian,Johor,Ahmad Maslan,27804,65.0,BN,UMNO,13727,Ahmad Maslan,BN,UMNO,49633,69.0,28.0,,3.0,,,42752,86.1,871,1.8
396,P164,Pontian,Johor,Haniff @ Ghazali Hosman,14077,32.9,PR,PKR,13727,Ahmad Maslan,BN,UMNO,49633,69.0,28.0,,3.0,,,42752,86.1,871,1.8
397,P165,Tanjong Piai,Johor,Wee Jeck Seng,25038,55.0,BN,MCA,5457,Wee Jeck Seng,BN,MCA,51875,51.0,47.0,,2.0,,,45537,87.8,918,1.8
398,P165,Tanjong Piai,Johor,Mahdzir Ibrahim,19581,43.0,PR,DAP,5457,Wee Jeck Seng,BN,MCA,51875,51.0,47.0,,2.0,,,45537,87.8,918,1.8
399,P166,Labuan,Federal Territory of Labuan,Ibrahim Menudin,6069,31.4,PR,PKR,6625,Yussof Mahal,BN,UMNO,24474,,23.0,,,60.0,14.0,19356,79.1,207,0.8
400,P166,Labuan,Federal Territory of Labuan,Hadnan Mohamad,386,2.0,PR,PAS,6625,Yussof Mahal,BN,UMNO,24474,,23.0,,,60.0,14.0,19356,79.1,207,0.8
401,P166,Labuan,Federal Territory of Labuan,Rozman Isli,12694,65.6,BN,UMNO,6625,Yussof Mahal,BN,UMNO,24474,,23.0,,,60.0,14.0,19356,79.1,207,0.8
402,P167,Kudat,Sabah,Rahimah Majid,9507,26.2,PR,PKR,12376,Abdul Rahim Bakri,BN,UMNO,47249,,11.0,,,47.0,40.0,36355,76.9,919,1.9
403,P167,Kudat,Sabah,Jutirim Galibai Galabi,3083,8.5,,STAR,12376,Abdul Rahim Bakri,BN,UMNO,47249,,11.0,,,47.0,40.0,36355,76.9,919,1.9
404,P167,Kudat,Sabah,Mojurip Diyun,963,2.6,,SAPP,12376,Abdul Rahim Bakri,BN,UMNO,47249,,11.0,,,47.0,40.0,36355,76.9,919,1.9
405,P167,Kudat,Sabah,Abdul Rahim Bakri,21883,60.2,BN,UMNO,12376,Abdul Rahim Bakri,BN,UMNO,47249,,11.0,,,47.0,40.0,36355,76.9,919,1.9
406,P168,Kota Marudu,Sabah,Maijol Mahap,14326,43.3,PR,PKR,842,Maximus Johnity Ongkili,BN,PBS,42197,,2.0,,,26.0,71.0,33077,78.4,911,2.2
407,P168,Kota Marudu,Sabah,Yuntau Kolod,444,1.3,,SAPP,842,Maximus Johnity Ongkili,BN,PBS,42197,,2.0,,,26.0,71.0,33077,78.4,911,2.2
408,P168,Kota Marudu,Sabah,Maximus Johnity Ongkili,15168,45.9,BN,PBS,842,Maximus Johnity Ongkili,BN,PBS,42197,,2.0,,,26.0,71.0,33077,78.4,911,2.2
409,P168,Kota Marudu,Sabah,Majamis Timbong,2228,6.7,,STAR,842,Maximus Johnity Ongkili,BN,PBS,42197,,2.0,,,26.0,71.0,33077,78.4,911,2.2
410,P169,Kota Belud,Sabah,Isnaraissah Munirah Majilis,16673,38.4,PR,PKR,5095,Abdul Rahman Dahlan,BN,UMNO,51467,,2.0,,,59.0,39.0,43423,84.4,1109,2.2
411,P169,Kota Belud,Sabah,Jalumin Bayogoh,2709,6.2,,STAR,5095,Abdul Rahman Dahlan,BN,UMNO,51467,,2.0,,,59.0,39.0,43423,84.4,1109,2.2
