Party,Name,Votes,NameBallot,majority,Event,year,type,State,ParliamentCode,StateCode,SeatName,EligibleVoters,MalayVoters,ChineseVoters,IndianVoters,OtherVoters,BumiMuslimVoters,BumiNonmuslimVoters,SabahBumiVoters,Early,Postal,Spoilt,Turnout,Unreturned,Unopposed
MCA,TEH CHAI AAN,2762,TEH CHAI AAN,142,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
DAP,TEH SENG CHUAN,2620,TEH SENG CHUAN,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
PAS,KAMIS BIN YUB,2291,KAMIS BIN HJ YUB,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
BEBAS,YAACOB BIN MAN,132,YAACOB BIN MAN,0,2018-GE,2018,GE,PL,P1,N1,TITI TINGGI,10111,78,19,2,1,0,0,0,435,1,0,0,0,0
MCA,KHAW HOCK KONG,3925,0,1486,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
DAP,TEH SENG CHUAN,2439,0,0,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
IND,YAACOB BIN MAN,968,0,0,2013-GE,2013,GE,PL,P1,N1,TITI TINGGI,9159,76,21,2,1,0,0,0,0,0,224,7556,0,0
MCA,YIP SUN ONN,3399,0,1814,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
IND,MOHD RAZI MUSTAFFA,1585,0,0,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
PKR,KERIA SENAWI,846,0,0,2008-GE,2008,GE,PL,P1,N1,TITI TINGGI,7830,74,23,3,1,0,0,0,0,0,32,6068,206,0
MCA,LOH YOON FOO,3668,0,2192,2004-GE,2004,GE,PL,P1,N1,TITI TINGGI,6887,71,25,3,0,0,0,0,0,0,253,5593,196,0
PKR,KO CHU LIANG,1476,0,0,2004-GE,2004,GE,PL,P1,N1,TITI TINGGI,6887,71,25,3,0,0,0,0,0,0,253,5593,196,0
UMNO,RUZAINI BIN RAIS,2879,RUZAINI BIN RAIS,416,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
AMANAH,WAN KHARIZAL BIN WAN KHAZIM,2463,WAN KHARIZAL,0,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
PAS,AZAMHARI BIN MOHAMOOD,1523,UST  AZAMHARI,0,2018-GE,2018,GE,PL,P1,N2,BESERI,8914,81,17,1,1,0,0,0,419,5,0,0,0,0
UMNO,MAT RAWI BIN KASSIM,3636,0,540,2013-GE,2013,GE,PL,P1,N2,BESERI,8197,78,20,1,2,0,0,0,0,0,95,6827,0,0
PAS,WAN KHARIZAL BIN WAN KHAZIM,3096,0,0,2013-GE,2013,GE,PL,P1,N2,BESERI,8197,78,20,1,2,0,0,0,0,0,95,6827,0,0
UMNO,MOHD RAWI KASSIM,3123,0,1111,2008-GE,2008,GE,PL,P1,N2,BESERI,6932,71,26,1,2,0,0,0,0,0,130,5265,0,0
PKR,DZULKEFLI MAT DE,2012,0,0,2008-GE,2008,GE,PL,P1,N2,BESERI,6932,71,26,1,2,0,0,0,0,0,130,5265,0,0
UMNO,DATUK ZAHIDI ZAINUL ABIDIN,3492,0,1871,2004-GE,2004,GE,PL,P1,N2,BESERI,6645,75,23,1,1,0,0,0,0,0,109,5222,0,0
PAS,MOHD ANUAR MOHD TAHIR,1621,0,0,2004-GE,2004,GE,PL,P1,N2,BESERI,6645,75,23,1,1,0,0,0,0,0,109,5222,0,0
UMNO,ASMAIZA BINTI AHMAD,3889,ASMAIZA BINTI AHMAD,1367,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
PKR,POZIYAH BINTI HAMZAH,2522,POZIYAH BINTI HAMZAH,0,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
PAS,MOHD ALI BIN PUTEH,1967,HJ MOHD ALI PUTEH,0,2018-GE,2018,GE,PL,P1,N3,CHUPING,10542,86,2,1,12,0,0,0,0,2,0,0,0,0
UMNO,ASMAIZA BINTI AHMAD,5688,0,2876,2013-GE,2013,GE,PL,P1,N3,CHUPING,9848,86,2,1,11,0,0,0,0,0,165,8665,0,0
PKR,WAN MOHAMAD FISHAAL BIN WAN DAUD,2812,0,0,2013-GE,2013,GE,PL,P1,N3,CHUPING,9848,86,2,1,11,0,0,0,0,0,165,8665,0,0
UMNO,MANSOR JUSOH,4972,0,2803,2008-GE,2008,GE,PL,P1,N3,CHUPING,8825,83,3,1,13,0,0,0,0,0,151,7301,9,0
PAS,MOHDALI PUTEH,2169,0,0,2008-GE,2008,GE,PL,P1,N3,CHUPING,8825,83,3,1,13,0,0,0,0,0,151,7301,9,0
UMNO,MANSOR JUSOH,4632,0,2590,2004-GE,2004,GE,PL,P1,N3,CHUPING,7802,85,4,2,10,0,0,0,0,0,122,6797,1,0
PAS,MOHD ALI PUTEH,2042,0,0,2004-GE,2004,GE,PL,P1,N3,CHUPING,7802,85,4,2,10,0,0,0,0,0,122,6797,1,0
UMNO,SITI BERENEE BINTI YAHAYA,2684,SITI BERENEE BINTI YAHAYA,720,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
BERSATU,AZHAR BIN OMAR,1964,LT KOL (B) HJ AZHAR BIN HJ OMAR,0,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
PAS,MOHAMMAD BIN YAHYA,1516,CIKGU MOHAMMAD,0,2018-GE,2018,GE,PL,P1,N4,MATA AYER,7617,91,3,1,6,0,0,0,1612,2,0,0,0,0
UMNO,KHAIRI BIN HASAN,3739,0,1989,2013-GE,2013,GE,PL,P1,N4,MATA AYER,6365,91,3,1,5,0,0,0,0,0,86,5575,0,0
PKR,AMMAR BIN GAZALI,1750,0,0,2013-GE,2013,GE,PL,P1,N4,MATA AYER,6365,91,3,1,5,0,0,0,0,0,86,5575,0,0
UMNO,KHAIRI HASSAN,3059,0,1622,2008-GE,2008,GE,PL,P1,N4,MATA AYER,5547,92,4,1,3,0,0,0,0,0,98,4662,68,0
PAS,WAN KHARIZAL WAN KHAZIM,1437,0,0,2008-GE,2008,GE,PL,P1,N4,MATA AYER,5547,92,4,1,3,0,0,0,0,0,98,4662,68,0
UMNO,KHAIRI HASSAN,3041,0,1603,2004-GE,2004,GE,PL,P1,N4,MATA AYER,5557,90,4,2,4,0,0,0,0,0,56,4563,28,0
PAS,SUWARDI YAACOB,1438,0,0,2004-GE,2004,GE,PL,P1,N4,MATA AYER,5557,90,4,2,4,0,0,0,0,0,56,4563,28,0
UMNO,AZIZAN BIN SULAIMAN,3071,AZIZAN BIN SULAIMAN,949,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
AMANAH,CHE MAZLINA BINTI CHE YOB,2122,CIKGU MAZLINA CHE YOB,0,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
PAS,BAHARUDDIN BIN AHMAD,2088,BAHARUDDIN AHMAD,0,2018-GE,2018,GE,PL,P1,N5,SANTAN,8912,99,0,0,0,0,0,0,0,0,0,0,0,0
UMNO,SABRY BIN AHMAD,4209,0,1084,2013-GE,2013,GE,PL,P1,N5,SANTAN,8405,99,1,0,0,0,0,0,0,0,93,7427,0,0
PAS,MOHD ANUAR BIN MOHD TAHIR,3125,0,0,2013-GE,2013,GE,PL,P1,N5,SANTAN,8405,99,1,0,0,0,0,0,0,0,93,7427,0,0
UMNO,SABRY AHMAD,3475,0,712,2008-GE,2008,GE,PL,P1,N5,SANTAN,7479,99,1,0,0,0,0,0,0,0,101,6351,12,0
PAS,ABDUL RASHID ABDUL RAHMAN,2763,0,0,2008-GE,2008,GE,PL,P1,N5,SANTAN,7479,99,1,0,0,0,0,0,0,0,101,6351,12,0
UMNO,SABRY AHMAD,3284,0,578,2004-GE,2004,GE,PL,P1,N5,SANTAN,7008,99,1,0,0,0,0,0,0,0,73,6063,0,0
PAS,ZOLKHARNAIN ABIDIN,2706,0,0,2004-GE,2004,GE,PL,P1,N5,SANTAN,7008,99,1,0,0,0,0,0,0,0,73,6063,0,0
UMNO,AZLAN BIN MAN,3986,DATO' SERI AZLAN MAN,847,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
AMANAH,MOKHTAR BIN CHE KASSIM,3139,MERI @ MOKHTAR CHE KASSIM,0,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
PAS,ABD JAMIL BIN KAMIS,2695,ABD JAMIL,0,2018-GE,2018,GE,PL,P2,N6,BINTONG,12136,96,3,1,0,0,0,0,0,1,0,0,0,0
UMNO,RELA BINTI AHMAD,5255,0,1237,2013-GE,2013,GE,PL,P2,N6,BINTONG,10911,96,3,1,0,0,0,0,0,0,188,9461,0,0
PAS,ABD JAMIL BIN KAMIS,4018,0,0,2013-GE,2013,GE,PL,P2,N6,BINTONG,10911,96,3,1,0,0,0,0,0,0,188,9461,0,0
UMNO,MAT ISA SABU,4882,0,2110,2008-GE,2008,GE,PL,P2,N6,BINTONG,9386,95,3,1,0,0,0,0,0,0,184,7864,26,0
PAS,MOHDANUAR TAHIR,2772,0,0,2008-GE,2008,GE,PL,P2,N6,BINTONG,9386,95,3,1,0,0,0,0,0,0,184,7864,26,0
UMNO,RUSLI MAT HUSIN,4076,0,1508,2004-GE,2004,GE,PL,P2,N6,BINTONG,7850,96,3,1,0,0,0,0,0,0,107,6757,6,0
PAS,ABDUL ZAKARIA,2568,0,0,2004-GE,2004,GE,PL,P2,N6,BINTONG,7850,96,3,1,0,0,0,0,0,0,107,6757,6,0
PKR,ASRUL NIZAN BIN ABD JALIL,4177,ASRUL NIZAN BIN ABD JALIL,314,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
UMNO,AZIHANI BINTI ALI,3863,AZIHANI BINTI ALI,0,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
PAS,FAKHRUL ANWAR BIN ISMAIL,1888,USTAZ FAKHRUL ANWAR,0,2018-GE,2018,GE,PL,P2,N7,SENA,12303,87,8,3,3,0,0,0,1132,4,0,0,0,0
UMNO,ABDUL JAMIL BIN SAAD,5418,0,1924,2013-GE,2013,GE,PL,P2,N7,SENA,11194,86,9,3,3,0,0,0,0,0,177,9410,0,0
PKR,TUAN MARJA BINTI TUAN MAT,3494,0,0,2013-GE,2013,GE,PL,P2,N7,SENA,11194,86,9,3,3,0,0,0,0,0,177,9410,0,0
IND,AHMAD RIZAL EFFANDE BIN ZAINOL,321,0,0,2013-GE,2013,GE,PL,P2,N7,SENA,11194,86,9,3,3,0,0,0,0,0,177,9410,0,0
UMNO,ABD JAMIL SAAD,4697,0,1869,2008-GE,2008,GE,PL,P2,N7,SENA,9604,82,11,3,4,0,0,0,0,0,161,7793,107,0
PAS,OSMAN ABDULLAH,2828,0,0,2008-GE,2008,GE,PL,P2,N7,SENA,9604,82,11,3,4,0,0,0,0,0,161,7793,107,0
UMNO,AZIHANI ALI,4001,0,1584,2004-GE,2004,GE,PL,P2,N7,SENA,7979,82,11,4,3,0,0,0,0,0,72,6496,6,0
PAS,AHMAD ADNAN FADZIL,2417,0,0,2004-GE,2004,GE,PL,P2,N7,SENA,7979,82,11,4,3,0,0,0,0,0,72,6496,6,0
PKR,GAN AY LING,5023,GAN AY LING,3177,2018-GE,2018,GE,PL,P2,N8,INDERA KAYANGAN,11018,51,44,4,2,0,0,0,0,3,0,0,0,0
MCA,CHUAH TIAN HEE,1846,CHUAH TIAN HEE,0,2018-GE,2018,GE,PL,P2,N8,INDERA KAYANGAN,11018,51,44,4,2,0,0,0,0,3,0,0,0,0
PAS,WAN HASSAN BIN ISMAIL,1835,CIKGU WAN HASSAN,0,2018-GE,2018,GE,PL,P2,N8,INDERA KAYANGAN,11018,51,44,4,2,0,0,0,0,3,0,0,0,0
PKR,CHAN MING KAI,4263,0,1092,2013-GE,2013,GE,PL,P2,N8,INDERA KAYANGAN,9776,48,47,4,1,0,0,0,0,0,144,7982,0,0
MCA,POR CHOO CHOR @ POR CHOO CHUAN,3171,0,0,2013-GE,2013,GE,PL,P2,N8,INDERA KAYANGAN,9776,48,47,4,1,0,0,0,0,0,144,7982,0,0
IND,AMEIR BIN HASSAN,404,0,0,2013-GE,2013,GE,PL,P2,N8,INDERA KAYANGAN,9776,48,47,4,1,0,0,0,0,0,144,7982,0,0
MCA,DR POR CHOO CHOR,3714,0,1263,2008-GE,2008,GE,PL,P2,N8,INDERA KAYANGAN,8517,45,50,4,2,0,0,0,0,0,129,6322,28,0
PKR,POZIYAH HAMZAH,2451,0,0,2008-GE,2008,GE,PL,P2,N8,INDERA KAYANGAN,8517,45,50,4,2,0,0,0,0,0,129,6322,28,0
MCA,OUI AH LAN,5243,0,3564,2004-GE,2004,GE,PL,P2,N8,INDERA KAYANGAN,9314,47,47,5,1,0,0,0,0,0,304,7261,35,0
PKR,KHOO YANG CHONG,1679,0,0,2004-GE,2004,GE,PL,P2,N8,INDERA KAYANGAN,9314,47,47,5,1,0,0,0,0,0,304,7261,35,0
PKR,NOR AZAM BIN KARAP,4253,AZAM KARAP,1254,2018-GE,2018,GE,PL,P2,N9,KUALA PERLIS,10654,79,21,0,1,0,0,0,34,1,0,0,0,0
UMNO,AZAM BIN RASHID,2999,CIKGU AZAM,0,2018-GE,2018,GE,PL,P2,N9,KUALA PERLIS,10654,79,21,0,1,0,0,0,34,1,0,0,0,0
PAS,MOHAMAD FUAT BIN HAJI ABU BAKAR,1066,MOHAMAD FUAT,0,2018-GE,2018,GE,PL,P2,N9,KUALA PERLIS,10654,79,21,0,1,0,0,0,34,1,0,0,0,0
UMNO,MAT BIN HASSAN,4758,0,1384,2013-GE,2013,GE,PL,P2,N9,KUALA PERLIS,10150,78,21,0,1,0,0,0,0,0,149,8472,0,0
PKR,NOOR AMIN BIN AHMAD,3374,0,0,2013-GE,2013,GE,PL,P2,N9,KUALA PERLIS,10150,78,21,0,1,0,0,0,0,0,149,8472,0,0
IND,SHAARI BIN LUDIN,191,0,0,2013-GE,2013,GE,PL,P2,N9,KUALA PERLIS,10150,78,21,0,1,0,0,0,0,0,149,8472,0,0
UMNO,MAT HASSAN,4448,0,2521,2008-GE,2008,GE,PL,P2,N9,KUALA PERLIS,8287,77,23,0,0,0,0,0,0,0,135,6524,14,0
PAS,AHMAD TAJUDDIN SALLEH,1927,0,0,2008-GE,2008,GE,PL,P2,N9,KUALA PERLIS,8287,77,23,0,0,0,0,0,0,0,135,6524,14,0
UMNO,BAKAR SAAD,4495,0,2824,2004-GE,2004,GE,PL,P2,N9,KUALA PERLIS,8024,77,22,0,1,0,0,0,0,0,155,6326,5,0
PKR,MOHD YUSOF UBI @ MADARSA,1671,0,0,2004-GE,2004,GE,PL,P2,N9,KUALA PERLIS,8024,77,22,0,1,0,0,0,0,0,155,6326,5,0
UMNO,HAMIZAN BIN HASSAN,3275,HAMIZAN BIN HASSAN,435,2018-GE,2018,GE,PL,P2,N10,KAYANG,9827,96,2,0,2,0,0,0,0,2,0,0,0,0
BERSATU,ABDUL HANNAAN BIN KHAIRY,2840,ABDUL HANNAAN BIN KHAIRY,0,2018-GE,2018,GE,PL,P2,N10,KAYANG,9827,96,2,0,2,0,0,0,0,2,0,0,0,0
PAS,MD RADZI BIN HASSAN,1855,HJ RADZI HASSAN,0,2018-GE,2018,GE,PL,P2,N10,KAYANG,9827,96,2,0,2,0,0,0,0,2,0,0,0,0
UMNO,AHMAD BAKRI BIN ALI,4259,0,664,2013-GE,2013,GE,PL,P2,N10,KAYANG,9176,96,2,0,2,0,0,0,0,0,130,7984,0,0
PAS,YA'AKUB BIN ABU SEMAN,3595,0,0,2013-GE,2013,GE,PL,P2,N10,KAYANG,9176,96,2,0,2,0,0,0,0,0,130,7984,0,0
UMNO,AHMAD BAKRI ALI,3913,0,1508,2008-GE,2008,GE,PL,P2,N10,KAYANG,7797,97,3,0,0,0,0,0,0,0,113,6443,12,0
PAS,YA'AKUB ABU SEMAN,2405,0,0,2008-GE,2008,GE,PL,P2,N10,KAYANG,7797,97,3,0,0,0,0,0,0,0,113,6443,12,0
UMNO,AZAM RASHID,3705,0,1327,2004-GE,2004,GE,PL,P2,N10,KAYANG,7349,95,3,1,2,0,0,0,0,0,118,6256,55,0
PAS,KU MAHMOOD KU ISMAIL,2378,0,0,2004-GE,2004,GE,PL,P2,N10,KAYANG,7349,95,3,1,2,0,0,0,0,0,118,6256,55,0
UMNO,ROZIEANA BINTI AHMAD,3564,ROZIEANA BINTI AHMAD,143,2018-GE,2018,GE,PL,P3,N11,PAUH,11200,78,15,6,2,0,0,0,391,1,0,0,0,0
BERSATU,AMIER BIN HASSAN,3421,AMIER LAWYER,0,2018-GE,2018,GE,PL,P3,N11,PAUH,11200,78,15,6,2,0,0,0,391,1,0,0,0,0
PAS,IDRIS BIN YAACOB,2085,USTAZ IDRIS,0,2018-GE,2018,GE,PL,P3,N11,PAUH,11200,78,15,6,2,0,0,0,391,1,0,0,0,0
UMNO,AZLAN BIN MAN,4769,0,1382,2013-GE,2013,GE,PL,P3,N11,PAUH,9594,77,16,6,2,0,0,0,0,0,158,8314,0,0
PAS,IDRIS BIN YAACOB,3387,0,0,2013-GE,2013,GE,PL,P3,N11,PAUH,9594,77,16,6,2,0,0,0,0,0,158,8314,0,0
UMNO,DATUK SERI SYED RAZLAN PUTRA JAMALULLAIL,4461,0,2572,2008-GE,2008,GE,PL,P3,N11,PAUH,8107,74,18,5,3,0,0,0,0,0,132,6527,45,0
PAS,ABU BAKAR ALI,1889,0,0,2008-GE,2008,GE,PL,P3,N11,PAUH,8107,74,18,5,3,0,0,0,0,0,132,6527,45,0
UMNO,DATUK ABU BAKAR ISMAIL,3795,0,1585,2004-GE,2004,GE,PL,P3,N11,PAUH,7601,75,18,6,2,0,0,0,0,0,179,6184,0,0
PAS,ABU BAKAR ALI,2210,0,0,2004-GE,2004,GE,PL,P3,N11,PAUH,7601,75,18,6,2,0,0,0,0,0,179,6184,0,0
UMNO,ISMAIL BIN KASIM,4005,ISMAIL KASIM (CHU),1180,2018-GE,2018,GE,PL,P3,N12,TAMBUN TULANG,10535,84,5,1,11,0,0,0,67,0,0,0,0,0
BERSATU,MATON BIN DIN,2825,MATON BIN DIN,0,2018-GE,2018,GE,PL,P3,N12,TAMBUN TULANG,10535,84,5,1,11,0,0,0,67,0,0,0,0,0
PAS,A BAKAR BIN ALI,1910,DR ABU BAKAR,0,2018-GE,2018,GE,PL,P3,N12,TAMBUN TULANG,10535,84,5,1,11,0,0,0,67,0,0,0,0,0
UMNO,ISMAIL BIN KASIM,5286,0,2481,2013-GE,2013,GE,PL,P3,N12,TAMBUN TULANG,9424,84,4,1,11,0,0,0,0,0,153,8244,0,0
PKR,AZHAR BIN AMEIR,2805,0,0,2013-GE,2013,GE,PL,P3,N12,TAMBUN TULANG,9424,84,4,1,11,0,0,0,0,0,153,8244,0,0
UMNO,DATUK SERI SHAHIDAN KASSIM,4371,0,2010,2008-GE,2008,GE,PL,P3,N12,TAMBUN TULANG,8683,84,4,2,11,0,0,0,0,0,138,6870,0,0
PAS,CHE NORDIN AHMAD,2361,0,0,2008-GE,2008,GE,PL,P3,N12,TAMBUN TULANG,8683,84,4,2,11,0,0,0,0,0,138,6870,0,0
UMNO,DATUK SERI SHAHIDAN KASSIM,4422,0,1742,2004-GE,2004,GE,PL,P3,N12,TAMBUN TULANG,8447,85,4,2,9,0,0,0,0,0,101,7208,5,0
PAS,DATUK DR HARUN DIN,2680,0,0,2004-GE,2004,GE,PL,P3,N12,TAMBUN TULANG,8447,85,4,2,9,0,0,0,0,0,101,7208,5,0
PAS,MOHD RIDZUAN BIN HASHIM,3199,USTAZ MOHD RIDZUAN,328,2018-GE,2018,GE,PL,P3,N13,GUAR SANJI,9233,97,2,0,0,0,0,0,0,2,0,0,0,0
UMNO,AFIFI BIN OSMAN,2871,AFIFI BIN OSMAN,0,2018-GE,2018,GE,PL,P3,N13,GUAR SANJI,9233,97,2,0,0,0,0,0,0,2,0,0,0,0
BERSATU,BARIDAH BINTI CHE NAYAN,1512,KAK IDA,0,2018-GE,2018,GE,PL,P3,N13,GUAR SANJI,9233,97,2,0,0,0,0,0,0,2,0,0,0,0
UMNO,JAFPERI BIN OTHMAN,4235,0,927,2013-GE,2013,GE,PL,P3,N13,GUAR SANJI,8723,97,2,0,0,0,0,0,0,0,82,7625,0,0
PAS,ZULMI BIN SABRI,3308,0,0,2013-GE,2013,GE,PL,P3,N13,GUAR SANJI,8723,97,2,0,0,0,0,0,0,0,82,7625,0,0
UMNO,JAFPERI OTHMAN,3736,0,702,2008-GE,2008,GE,PL,P3,N13,GUAR SANJI,8160,98,2,0,0,0,0,0,0,0,93,6879,16,0
PAS,AHMAD ADNAN FADZIL,3034,0,0,2008-GE,2008,GE,PL,P3,N13,GUAR SANJI,8160,98,2,0,0,0,0,0,0,0,93,6879,16,0
UMNO,JAPERIA OTHMAN,3378,0,145,2004-GE,2004,GE,PL,P3,N13,GUAR SANJI,7765,98,2,0,0,0,0,0,0,0,97,6708,0,0
PAS,AHMAD ALI,3233,0,0,2004-GE,2004,GE,PL,P3,N13,GUAR SANJI,7765,98,2,0,0,0,0,0,0,0,97,6708,0,0
UMNO,NURULHISHAM BIN YAAKOB,2528,NURULHISHAM BIN YAAKOB,82,2018-GE,2018,GE,PL,P3,N14,SIMPANG EMPAT,8547,91,9,0,0,0,0,0,30,1,0,0,0,0
PAS,RUS'SELE BIN EIZAN,2446,RUS'SELE EIZAN,0,2018-GE,2018,GE,PL,P3,N14,SIMPANG EMPAT,8547,91,9,0,0,0,0,0,30,1,0,0,0,0
PKR,WAN NORALHAKIM SHAGHIR BIN SAAD,1960,DR HAKIM,0,2018-GE,2018,GE,PL,P3,N14,SIMPANG EMPAT,8547,91,9,0,0,0,0,0,30,1,0,0,0,0
UMNO,NURULHISHAM BIN YAAKOB,3362,0,85,2013-GE,2013,GE,PL,P3,N14,SIMPANG EMPAT,7774,90,10,0,0,0,0,0,0,0,70,6709,0,0
PAS,RUS'SELE BIN EIZAN,3277,0,0,2013-GE,2013,GE,PL,P3,N14,SIMPANG EMPAT,7774,90,10,0,0,0,0,0,0,0,70,6709,0,0
PAS,RUS'SELLE EZLAN,2878,0,53,2008-GE,2008,GE,PL,P3,N14,SIMPANG EMPAT,6981,88,12,0,0,0,0,0,0,0,82,5793,8,0
UMNO,ZAHARI BAKAR,2825,0,0,2008-GE,2008,GE,PL,P3,N14,SIMPANG EMPAT,6981,88,12,0,0,0,0,0,0,0,82,5793,8,0
UMNO,ZAHARI BAKAR,2795,0,276,2004-GE,2004,GE,PL,P3,N14,SIMPANG EMPAT,6554,88,12,0,0,0,0,0,0,0,133,5447,0,0
PAS,DR CHE ROSLI CHE MAT,2519,0,0,2004-GE,2004,GE,PL,P3,N14,SIMPANG EMPAT,6554,88,12,0,0,0,0,0,0,0,133,5447,0,0
PAS,MOHD SHUKRI BIN RAMLI,2971,CIKGU SHUKRI,42,2018-GE,2018,GE,PL,P3,N15,SANGLANG,8672,92,7,0,0,0,0,0,0,0,0,0,0,0
UMNO,CHE ZAIDI BIN SAIDIN,2929,CHE ZAIDI BIN SAIDIN,0,2018-GE,2018,GE,PL,P3,N15,SANGLANG,8672,92,7,0,0,0,0,0,0,0,0,0,0,0
AMANAH,ZOLKHARNAIN BIN ABIDIN,1379,USTAZ ZOLKHARNAIN ABIDIN,0,2018-GE,2018,GE,PL,P3,N15,SANGLANG,8672,92,7,0,0,0,0,0,0,0,0,0,0,0
PAS,MOHD SHUKRI BIN RAMLI,3632,0,121,2013-GE,2013,GE,PL,P3,N15,SANGLANG,8361,92,8,0,0,0,0,0,0,0,80,7445,0,0
UMNO,FATHUL BARI BIN MAT JAHYA,3511,0,0,2013-GE,2013,GE,PL,P3,N15,SANGLANG,8361,92,8,0,0,0,0,0,0,0,80,7445,0,0
IND,ZAINUDIN BIN YOM,222,0,0,2013-GE,2013,GE,PL,P3,N15,SANGLANG,8361,92,8,0,0,0,0,0,0,0,80,7445,0,0
UMNO,ABDULLAH HASSAN,3384,0,149,2008-GE,2008,GE,PL,P3,N15,SANGLANG,7946,90,9,0,0,0,0,0,0,0,92,6722,11,0
PAS,HASHIM JASIN,3235,0,0,2008-GE,2008,GE,PL,P3,N15,SANGLANG,7946,90,9,0,0,0,0,0,0,0,92,6722,11,0
PAS,HASHIM JASIN,3221,0,45,2004-GE,2004,GE,PL,P3,N15,SANGLANG,7700,90,9,0,0,0,0,0,0,0,11,6408,0,0
UMNO,DATUK MASTIKA JUNAIDAH HUSIN,3176,0,0,2004-GE,2004,GE,PL,P3,N15,SANGLANG,7700,90,9,0,0,0,0,0,0,0,11,6408,0,0
BERSATU,JUHARI BIN BULAT,7550,JUHARI BIN BULAT,1532,2018-GE,2018,GE,KD,P4,N1,AYER HANGAT,21297,95,1,3,1,0,0,0,570,0,0,0,0,0
UMNO,MOHD RAWI BIN ABD HAMID,6018,MOHD RAWI BIN ABD HAMID,0,2018-GE,2018,GE,KD,P4,N1,AYER HANGAT,21297,95,1,3,1,0,0,0,570,0,0,0,0,0
PAS,AZLINA BINTI AZINAN,4034,AZLINA BINTI AZINAN,0,2018-GE,2018,GE,KD,P4,N1,AYER HANGAT,21297,95,1,3,1,0,0,0,570,0,0,0,0,0
UMNO,MOHD RAWI BIN ABD HAMID,11166,0,5311,2013-GE,2013,GE,KD,P4,N1,AYER HANGAT,20130,95,2,3,0,0,0,0,0,0,292,17313,0,0
PAS,ZUBIR BIN AHMAD,5855,0,0,2013-GE,2013,GE,KD,P4,N1,AYER HANGAT,20130,95,2,3,0,0,0,0,0,0,292,17313,0,0
UMNO,MOHD RAWI ABD HAMID,6888,0,1135,2008-GE,2008,GE,KD,P4,N1,AYER HANGAT,16072,95,2,3,0,0,0,0,0,0,297,12951,13,0
PAS,ZUBIR AHMAD,5753,0,0,2008-GE,2008,GE,KD,P4,N1,AYER HANGAT,16072,95,2,3,0,0,0,0,0,0,297,12951,13,0
UMNO,DATUK MD HASSAN BULAT,7597,0,2803,2004-GE,2004,GE,KD,P4,N1,AYER HANGAT,15213,94,3,3,0,0,0,0,0,0,262,12659,6,0
PAS,YUSOF ISMAIL,4794,0,0,2004-GE,2004,GE,KD,P4,N1,AYER HANGAT,15213,94,3,3,0,0,0,0,0,0,262,12659,6,0
BERSATU,MOHD FIRDAUS BIN AHMAD,8276,MOHD FIRDAUS BIN AHMAD,2452,2018-GE,2018,GE,KD,P4,N2,KUAH,21400,86,12,2,1,0,0,0,1018,3,0,0,0,0
UMNO,NOR SAIDI BIN NANYAN,5824,NOR SAIDI BIN NANYAN,0,2018-GE,2018,GE,KD,P4,N2,KUAH,21400,86,12,2,1,0,0,0,1018,3,0,0,0,0
PAS,MAZLAN BIN AHMAD,2685,MAZLAN BIN AHMAD,0,2018-GE,2018,GE,KD,P4,N2,KUAH,21400,86,12,2,1,0,0,0,1018,3,0,0,0,0
